tipo_muerte,provincia,canton,zona,subzona,distrito,circuito,codigo_subcircuito,subcircuito,fecha_infraccion,anio,mes,nombre_mes,dia,hora_infraccion,hora,franja_horaria,arma,tipo_arma,sexo,genero,edad,grupo_edad,etnia,nacionalidad,estado_civil,lugar,tipo_lugar,area_hecho,presunta_motivacion,motivacion_observada,probable_causa,latitud,longitud,total,codigo_provincia,codigo_canton,medida_edad,discapacidad,profesion_registro_civil,instruccion
HOMICIDIO,PICHINCHA,RUMIÑAHUI,ZONA 2,PICHINCHA,RUMIÑAHUI - MEJÍA,SAN RAFAEL,17D11C11S01,SAN RAFAEL 1,2026-05-31,2026,5,Mayo,31,02:30,2.5,Madrugada,ARMA BLANCA,CUCHILLO,HOMBRE,MASCULINO,24,18 a 29,MESTIZO/A,ECUADOR,SOLTERO,VÍA PÚBLICA,PÚBLICO,URBANO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,-0.30843,-78.45269,1,17,1705,A,NINGUNA,ESTADO PERSONAL,
ASESINATO,GUAYAS,GUAYAQUIL,ZONA 8,D.M. GUAYAQUIL,PORTETE,BATALLÓN DEL SUBURBIO,09D04C05S01,BATALLÓN DEL SUBURBIO 1,2026-05-31,2026,5,Mayo,31,00:34,0.567,Madrugada,CONSTRICTORA,CUERDA,HOMBRE,MASCULINO,,,MESTIZO/A,,,VÍA PÚBLICA,PÚBLICO,URBANO,DELINCUENCIA COMÚN,AMENAZA,ESTRANGULACION,-2.22568,-79.94684,1,9,901,,NINGUNA,,
HOMICIDIO,PICHINCHA,QUITO,ZONA 9,D.M. QUITO,QUITUMBE,TURUBAMBA,17D07C05S06,TURUBAMBA 6,2026-05-31,2026,5,Mayo,31,04:00,4.0,Madrugada,ARMA DE FUEGO,PISTOLA,HOMBRE,MASCULINO,25,18 a 29,,,,VÍA PÚBLICA,PÚBLICO,URBANO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,-0.35634,-78.52466,1,17,1701,A,NINGUNA,,
HOMICIDIO,PICHINCHA,QUITO,ZONA 9,D.M. QUITO,QUITUMBE,TURUBAMBA,17D07C05S06,TURUBAMBA 6,2026-05-31,2026,5,Mayo,31,04:00,4.0,Madrugada,ARMA DE FUEGO,PISTOLA,HOMBRE,MASCULINO,30,30 a 44,,,,VÍA PÚBLICA,PÚBLICO,URBANO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,-0.35634,-78.52466,1,17,1701,A,NINGUNA,,
ASESINATO,SANTA ELENA,SALINAS,ZONA 5,SANTA ELENA,LIBERTAD SALINAS,SALINAS CENTRO,24D02C05S03,SALINAS CENTRO 3,2026-05-31,2026,5,Mayo,31,01:15,1.25,Madrugada,ARMA DE FUEGO,REVOLVER,HOMBRE,MASCULINO,44,30 a 44,MESTIZO/A,ECUADOR,CASADO,VÍA PÚBLICA,PÚBLICO,URBANO,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,-2.21079,-80.95099,1,24,2403,A,NINGUNA,ADMINISTRADOR,
ASESINATO,GUAYAS,GUAYAQUIL,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUASMO,09D01C01S02,GUASMO 2,2026-05-31,2026,5,Mayo,31,01:40,1.667,Madrugada,ARMA DE FUEGO,PISTOLA,HOMBRE,MASCULINO,24,18 a 29,MESTIZO/A,ECUADOR,SOLTERO,VÍA PÚBLICA,PÚBLICO,URBANO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,-2.27349,-79.87978,1,9,901,A,NINGUNA,ESTADO PERSONAL,
ASESINATO,IMBABURA,IBARRA,ZONA 1,IMBABURA,CIUDAD BLANCA,LITA,10D01C17S01,LITA 1,2026-05-31,2026,5,Mayo,31,02:00,2.0,Madrugada,ARMA DE FUEGO,PISTOLA,HOMBRE,MASCULINO,29,18 a 29,MESTIZO/A,PERU,SOLTERO,CASA/VILLA,PRIVADO,RURAL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,0.81646,-78.35996,1,10,1001,A,NINGUNA,,
ASESINATO,LOS RÍOS,PUEBLOVIEJO,ZONA 5,LOS RÍOS,PUEBLO VIEJO,SAN JUAN,12D02C02S02,SAN JUAN 2,2026-05-31,2026,5,Mayo,31,04:00,4.0,Madrugada,ARMA DE FUEGO,FUSIL,HOMBRE,MASCULINO,25,18 a 29,MESTIZO/A,ECUADOR,SOLTERO,CASA/VILLA,PRIVADO,RURAL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,-1.62714,-79.55411,1,12,1204,A,NINGUNA,ESTADO PERSONAL,
ASESINATO,GUAYAS,GUAYAQUIL,ZONA 8,D.M. GUAYAQUIL,MODELO,ATARAZANA,09D05C01S01,ATARAZANA 1,2026-05-31,2026,5,Mayo,31,03:30,3.5,Madrugada,ARMA DE FUEGO,REVOLVER,HOMBRE,MASCULINO,31,30 a 44,MESTIZO/A,ECUADOR,SOLTERO,PARQUES Y PLAZAS,PÚBLICO,URBANO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA DE FUEGO,-2.17738,-79.8764,1,9,901,A,NINGUNA,BACHILLER CIENCIAS,
ASESINATO,LOS RÍOS,PUEBLOVIEJO,ZONA 5,LOS RÍOS,PUEBLO VIEJO,SAN JUAN,12D02C02S02,SAN JUAN 2,2026-05-31,2026,5,Mayo,31,09:30,9.5,Mañana,ARMA DE FUEGO,FUSIL,HOMBRE,MASCULINO,67,60 o más,MESTIZO/A,ECUADOR,SOLTERO,CASA/VILLA,PRIVADO,RURAL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,-1.62714,-79.55411,1,12,1204,A,NINGUNA,ESTADO PERSONAL,
