provincia,canton,total_casos,casos_arma_fuego,casos_noche_madrugada,score_riesgo,nivel_riesgo
GUAYAS,GUAYAQUIL,936,851,596,1770.1,Crítico
EL ORO,MACHALA,192,171,109,355.3,Crítico
GUAYAS,DURÁN,156,153,99,302.7,Crítico
MANABÍ,MANTA,132,130,64,248.6,Crítico
PICHINCHA,QUITO,104,61,73,175.9,Crítico
ESMERALDAS,ESMERALDAS,92,80,49,167.6,Crítico
MANABÍ,PORTOVIEJO,80,76,52,154.0,Crítico
LOS RÍOS,QUEVEDO,80,71,47,148.5,Crítico
LOS RÍOS,BABAHOYO,70,66,50,136.2,Crítico
MANABÍ,MONTECRISTI,60,55,42,115.3,Crítico
EL ORO,HUAQUILLAS,57,49,30,103.3,Crítico
EL ORO,SANTA ROSA,53,46,35,99.2,Crítico
GUAYAS,NARANJAL,52,41,36,95.1,Crítico
LOS RÍOS,BUENA FE,48,44,33,92.0,Crítico
EL ORO,PASAJE,52,40,30,92.0,Crítico
GUAYAS,DAULE,44,40,31,84.4,Crítico
SUCUMBÍOS,LAGO AGRIO,40,38,30,78.6,Crítico
LOS RÍOS,PUEBLOVIEJO,40,36,22,74.0,Crítico
EL ORO,EL GUABO,38,31,23,68.9,Crítico
GUAYAS,SAMBORONDÓN,35,34,20,66.8,Crítico
LOS RÍOS,VINCES,37,36,11,66.6,Crítico
GUAYAS,PLAYAS,33,33,17,62.9,Crítico
CAÑAR,LA TRONCAL,37,25,18,61.7,Crítico
GUAYAS,EL EMPALME,35,29,14,60.9,Crítico
ORELLANA,FRANCISCO DE ORELLANA,29,28,15,54.6,Crítico
LOS RÍOS,URDANETA,28,27,19,54.5,Crítico
MANABÍ,SUCRE,28,28,12,52.4,Crítico
SANTA ELENA,LA LIBERTAD,27,27,15,51.9,Crítico
MANABÍ,CHONE,28,25,15,51.5,Alto
EL ORO,ARENILLAS,29,24,14,51.4,Alto
GUAYAS,MILAGRO,27,25,15,50.5,Alto
LOS RÍOS,VENTANAS,27,20,17,47.8,Alto
GUAYAS,SANTA LUCÍA,24,24,17,47.6,Alto
SANTA ELENA,SANTA ELENA,26,22,15,47.4,Alto
SANTA ELENA,SALINAS,23,22,13,43.6,Alto
LOS RÍOS,MONTALVO,21,20,14,40.6,Alto
MANABÍ,PEDERNALES,21,20,12,39.8,Alto
GUAYAS,LOMAS DE SARGENTILLO,19,19,14,37.9,Alto
MANABÍ,SAN VICENTE,20,20,9,37.6,Alto
TUNGURAHUA,AMBATO,19,16,18,37.4,Alto
GUAYAS,SALITRE,20,18,10,36.6,Alto
GUAYAS,SAN JACINTO DE YAGUACHI,20,19,7,36.1,Alto
MANABÍ,EL CARMEN,20,15,10,34.5,Alto
GUAYAS,SIMÓN BOLÍVAR,18,16,11,33.6,Alto
AZUAY,CUENCA,18,12,16,32.8,Alto
LOS RÍOS,QUINSALOMA,17,17,9,32.5,Alto
STO DGO DE LOS TSÁCHILAS,SANTO DOMINGO,18,14,10,31.8,Alto
MANABÍ,SANTA ANA,17,16,5,30.2,Alto
GUAYAS,EL TRIUNFO,16,15,9,30.1,Alto
LOS RÍOS,BABA,15,13,9,27.7,Alto
GUAYAS,BALZAR,14,13,9,26.7,Alto
SUCUMBÍOS,SHUSHUFINDI,14,10,13,26.2,Alto
MANABÍ,JIPIJAPA,14,12,9,26.0,Alto
STO DGO DE LOS TSÁCHILAS,LA CONCORDIA,13,11,7,23.5,Alto
GUAYAS,ALFREDO BAQUERIZO MORENO (JUJÁN),11,9,10,21.3,Alto
LOS RÍOS,VALENCIA,11,10,6,20.4,Alto
PASTAZA,PASTAZA,9,8,9,18.2,Alto
GUAYAS,NOBOL,11,7,5,17.9,Alto
LOS RÍOS,MOCACHE,9,9,6,17.7,Alto
ORELLANA,LA JOYA DE LOS SACHAS,9,8,6,17.0,Alto
ESMERALDAS,SAN LORENZO,9,9,4,16.9,Alto
MANABÍ,JAMA,8,8,7,16.4,Alto
IMBABURA,IBARRA,9,5,8,15.7,Alto
ESMERALDAS,QUININDÉ,8,7,5,14.9,Alto
MANABÍ,TOSAGUA,7,6,6,13.6,Alto
PICHINCHA,PEDRO MONCAYO,7,6,6,13.6,Alto
LOJA,LOJA,10,2,5,13.4,Alto
COTOPAXI,LATACUNGA,11,1,4,13.3,Alto
GUAYAS,NARANJITO,7,7,3,13.1,Alto
ESMERALDAS,ATACAMES,7,5,5,12.5,Moderado
MANABÍ,JARAMIJÓ,7,6,3,12.4,Moderado
GUAYAS,PEDRO CARBO,7,5,4,12.1,Moderado
GUAYAS,ISIDRO AYORA,6,6,3,11.4,Moderado
ESMERALDAS,MUISNE,6,4,5,10.8,Moderado
NAPO,TENA,6,5,2,10.3,Moderado
GUAYAS,COLIMES,5,5,2,9.3,Moderado
MANABÍ,24 DE MAYO,5,5,2,9.3,Moderado
MANABÍ,ROCAFUERTE,5,4,3,9.0,Moderado
LOS RÍOS,PALENQUE,5,5,1,8.9,Moderado
LOJA,CHAGUARPAMBA,5,5,0,8.5,Moderado
MANABÍ,PUERTO LÓPEZ,5,1,5,7.7,Moderado
CARCHI,TULCÁN,5,2,3,7.6,Moderado
ESMERALDAS,ELOY ALFARO,4,4,1,7.2,Moderado
BOLÍVAR,LAS NAVES,4,4,1,7.2,Moderado
GUAYAS,BALAO,5,2,2,7.2,Moderado
EL ORO,ZARUMA,4,4,0,6.8,Moderado
LOJA,CATAMAYO,3,3,3,6.3,Moderado
NAPO,CARLOS JULIO AROSEMENA TOLA,3,3,3,6.3,Moderado
MORONA SANTIAGO,MORONA,3,3,3,6.3,Moderado
GUAYAS,PALESTINA,3,3,3,6.3,Moderado
CAÑAR,AZOGUES,3,3,3,6.3,Moderado
IMBABURA,OTAVALO,4,2,2,6.2,Moderado
GUAYAS,GENERAL ANTONIO ELIZALDE,3,3,2,5.9,Moderado
ORELLANA,LORETO,3,2,2,5.2,Moderado
CHIMBORAZO,RIOBAMBA,3,1,3,4.9,Moderado
PICHINCHA,CAYAMBE,3,2,1,4.8,Moderado
MANABÍ,PAJÁN,3,2,0,4.4,Moderado
MANABÍ,PICHINCHA,2,2,2,4.2,Moderado
MANABÍ,BOLÍVAR,2,2,2,4.2,Moderado
PICHINCHA,RUMIÑAHUI,3,1,1,4.1,Moderado
MORONA SANTIAGO,PALORA,3,1,1,4.1,Moderado
COTOPAXI,PUJILÍ,2,2,1,3.8,Moderado
ZAMORA CHINCHIPE,EL PANGUI,2,2,1,3.8,Moderado
CAÑAR,CAÑAR,2,2,1,3.8,Moderado
AZUAY,CHORDELEG,3,1,0,3.7,Moderado
ESMERALDAS,RIOVERDE,3,1,0,3.7,Moderado
CARCHI,BOLÍVAR,2,1,2,3.5,Moderado
PICHINCHA,PUERTO QUITO,2,1,2,3.5,Moderado
PICHINCHA,MEJÍA,2,1,2,3.5,Moderado
EL ORO,PORTOVELO,2,2,0,3.4,Moderado
NAPO,ARCHIDONA,2,0,2,2.8,Moderado
MORONA SANTIAGO,LIMÓN INDANZA,2,1,0,2.7,Moderado
BOLÍVAR,GUARANDA,2,1,0,2.7,Moderado
BOLÍVAR,CHIMBO,1,1,1,2.1,Moderado
MANABÍ,JUNÍN,1,1,1,2.1,Moderado
TUNGURAHUA,BAÑOS DE AGUA SANTA,1,1,1,2.1,Moderado
TUNGURAHUA,PATATE,1,1,1,2.1,Moderado
COTOPAXI,SALCEDO,1,1,1,2.1,Moderado
CHIMBORAZO,GUANO,1,1,1,2.1,Moderado
TUNGURAHUA,SANTIAGO DE PÍLLARO,1,1,1,2.1,Moderado
LOJA,SARAGURO,2,0,0,2.0,Moderado
GUAYAS,CORONEL MARCELINO MARIDUEÑA,2,0,0,2.0,Moderado
MORONA SANTIAGO,HUAMBOYA,1,1,0,1.7,Moderado
ZAMORA CHINCHIPE,YANTZAZA,1,1,0,1.7,Moderado
ZAMORA CHINCHIPE,CENTINELA DEL CÓNDOR,1,1,0,1.7,Moderado
MORONA SANTIAGO,SUCÚA,1,1,0,1.7,Moderado
PASTAZA,MERA,1,1,0,1.7,Moderado
EL ORO,PIÑAS,1,1,0,1.7,Moderado
COTOPAXI,LA MANÁ,1,1,0,1.7,Moderado
COTOPAXI,PANGUA,1,0,1,1.4,Moderado
AZUAY,CAMILO PONCE ENRÍQUEZ,1,0,1,1.4,Moderado
LOJA,ESPÍNDOLA,1,0,1,1.4,Moderado
COTOPAXI,SIGCHOS,1,0,1,1.4,Moderado
EL ORO,CHILLA,1,0,1,1.4,Moderado
CARCHI,MONTÚFAR,1,0,0,1.0,Moderado
LOJA,GONZANAMÁ,1,0,0,1.0,Moderado
LOJA,MACARÁ,1,0,0,1.0,Moderado
NAPO,EL CHACO,1,0,0,1.0,Moderado
SUCUMBÍOS,GONZALO PIZARRO,1,0,0,1.0,Moderado
